T ; GC ; CA ; Ideal
       1.0  ;   0.597308E-04   ;     0.214133E-03  ;   0.953052E-03 
       2.0  ;   0.597308E-04   ;     0.214133E-03  ;   0.953052E-03 
       3.0  ;   0.597308E-04   ;     0.214133E-03  ;   0.953052E-03 
       4.0  ;   0.597308E-04   ;     0.214133E-03  ;   0.953052E-03 
       5.0  ;   0.597308E-04   ;     0.214134E-03  ;   0.953052E-03 
       6.0  ;   0.597308E-04   ;     0.214150E-03  ;   0.953052E-03 
       7.0  ;   0.597308E-04   ;     0.214223E-03  ;   0.953052E-03 
       8.0  ;   0.597308E-04   ;     0.214447E-03  ;   0.953052E-03 
       9.0  ;   0.597308E-04   ;     0.214962E-03  ;   0.953052E-03 
      10.0  ;   0.597309E-04   ;     0.215936E-03  ;   0.953052E-03 
      11.0  ;   0.597308E-04   ;     0.217537E-03  ;   0.953052E-03 
      12.0  ;   0.597308E-04   ;     0.219908E-03  ;   0.953052E-03 
      13.0  ;   0.597308E-04   ;     0.223154E-03  ;   0.953052E-03 
      14.0  ;   0.597308E-04   ;     0.227324E-03  ;   0.953052E-03 
      15.0  ;   0.597308E-04   ;     0.232414E-03  ;   0.953052E-03 
      16.0  ;   0.597308E-04   ;     0.238371E-03  ;   0.953052E-03 
      17.0  ;   0.597308E-04   ;     0.245097E-03  ;   0.953052E-03 
      18.0  ;   0.597308E-04   ;     0.252465E-03  ;   0.953052E-03 
      19.0  ;   0.597308E-04   ;     0.260328E-03  ;   0.953052E-03 
      20.0  ;   0.597729E-04   ;     0.268534E-03  ;   0.953052E-03 
      21.0  ;   0.611250E-04   ;     0.276934E-03  ;   0.953052E-03 
      22.0  ;   0.611250E-04   ;     0.285390E-03  ;   0.953052E-03 
      23.0  ;   0.611250E-04   ;     0.293782E-03  ;   0.953052E-03 
      24.0  ;   0.611250E-04   ;     0.302008E-03  ;   0.953052E-03 
      25.0  ;   0.611250E-04   ;     0.309988E-03  ;   0.953052E-03 
      30.0  ;   0.611250E-04   ;     0.344652E-03  ;   0.953052E-03 
      40.0  ;   0.678541E-04   ;     0.387835E-03  ;   0.953052E-03 
      50.0  ;   0.853884E-04   ;     0.411293E-03  ;   0.953052E-03 
      60.0  ;   0.120702E-03   ;     0.429101E-03  ;   0.953052E-03 
      70.0  ;   0.179239E-03   ;     0.447597E-03  ;   0.953052E-03 
      80.0  ;   0.259108E-03   ;     0.468814E-03  ;   0.953052E-03 
      90.0  ;   0.350265E-03   ;     0.492608E-03  ;   0.953052E-03 
     100.0  ;   0.440391E-03   ;     0.517871E-03  ;   0.953052E-03 
     130.0  ;   0.642650E-03   ;     0.590664E-03  ;   0.953052E-03 
     160.0  ;   0.749156E-03   ;     0.647029E-03  ;   0.953052E-03 
     190.0  ;   0.807550E-03   ;     0.686739E-03  ;   0.953052E-03 
     220.0  ;   0.843447E-03   ;     0.714621E-03  ;   0.953052E-03 
     250.0  ;   0.867464E-03   ;     0.734659E-03  ;   0.953052E-03 
     280.0  ;   0.884466E-03   ;     0.749453E-03  ;   0.953052E-03 
     310.0  ;   0.896992E-03   ;     0.760646E-03  ;   0.953052E-03 
     340.0  ;   0.906502E-03   ;     0.769294E-03  ;   0.953052E-03 
     370.0  ;   0.913895E-03   ;     0.776101E-03  ;   0.953052E-03 
     400.0  ;   0.919755E-03   ;     0.781543E-03  ;   0.953052E-03 
     430.0  ;   0.924478E-03   ;     0.785955E-03  ;   0.953052E-03 
     460.0  ;   0.928338E-03   ;     0.789577E-03  ;   0.953052E-03 
     490.0  ;   0.931532E-03   ;     0.792584E-03  ;   0.953052E-03 
     520.0  ;   0.934204E-03   ;     0.795105E-03  ;   0.953052E-03 
     550.0  ;   0.936460E-03   ;     0.797238E-03  ;   0.953052E-03 
     580.0  ;   0.938383E-03   ;     0.799057E-03  ;   0.953052E-03 
     610.0  ;   0.940034E-03   ;     0.800621E-03  ;   0.953052E-03 
     640.0  ;   0.941461E-03   ;     0.801974E-03  ;   0.953052E-03 
     670.0  ;   0.942704E-03   ;     0.803151E-03  ;   0.953052E-03 
     700.0  ;   0.943792E-03   ;     0.804183E-03  ;   0.953052E-03 
     730.0  ;   0.944750E-03   ;     0.805091E-03  ;   0.953052E-03 
     760.0  ;   0.945598E-03   ;     0.805895E-03  ;   0.953052E-03 
     790.0  ;   0.946351E-03   ;     0.806609E-03  ;   0.953052E-03 
     820.0  ;   0.947024E-03   ;     0.807247E-03  ;   0.953052E-03 
     850.0  ;   0.947627E-03   ;     0.807818E-03  ;   0.953052E-03 
     880.0  ;   0.948170E-03   ;     0.808333E-03  ;   0.953052E-03 
     910.0  ;   0.948660E-03   ;     0.808797E-03  ;   0.953052E-03 
     940.0  ;   0.949104E-03   ;     0.809217E-03  ;   0.953052E-03 
     970.0  ;   0.949507E-03   ;     0.809599E-03  ;   0.953052E-03 
    1000.0  ;   0.949875E-03   ;     0.809947E-03  ;   0.953052E-03 
    1030.0  ;   0.950211E-03   ;     0.810265E-03  ;   0.953052E-03 
    1060.0  ;   0.950518E-03   ;     0.810556E-03  ;   0.953052E-03 
    1090.0  ;   0.950801E-03   ;     0.810823E-03  ;   0.953052E-03 
    1120.0  ;   0.951061E-03   ;     0.811069E-03  ;   0.953052E-03 
    1150.0  ;   0.951302E-03   ;     0.811296E-03  ;   0.953052E-03 
    1180.0  ;   0.951524E-03   ;     0.811506E-03  ;   0.953052E-03 
    1210.0  ;   0.951729E-03   ;     0.811700E-03  ;   0.953052E-03 
    1240.0  ;   0.951920E-03   ;     0.811881E-03  ;   0.953052E-03 
    1270.0  ;   0.952097E-03   ;     0.812048E-03  ;   0.953052E-03 
    1300.0  ;   0.952263E-03   ;     0.812204E-03  ;   0.953052E-03 
    1330.0  ;   0.952417E-03   ;     0.812350E-03  ;   0.953052E-03 
    1360.0  ;   0.952561E-03   ;     0.812485E-03  ;   0.953052E-03 
    1390.0  ;   0.952696E-03   ;     0.812613E-03  ;   0.953052E-03 
    1420.0  ;   0.952822E-03   ;     0.812732E-03  ;   0.953052E-03 
    1450.0  ;   0.952940E-03   ;     0.812843E-03  ;   0.953052E-03 
    1480.0  ;   0.953052E-03   ;     0.812948E-03  ;   0.953052E-03 
