     0    ;        0.13346   ;     0.00007 ; 0.00000
     1    ;        0.25391   ;     0.00071 ; 0.00000
     2    ;        0.28875   ;     0.00432 ; 0.00000
     3    ;        0.18987   ;     0.01518 ; 0.00000
     4    ;        0.08801   ;     0.03759 ; 0.00000
     5    ;        0.03283   ;     0.07492 ; 0.00000
     6    ;        0.01013   ;     0.12346 ; 0.00002
     7    ;        0.00245   ;     0.15963 ; 0.00014
     8    ;        0.00050   ;     0.17273 ; 0.00073
     9    ;        0.00008   ;     0.15779 ; 0.00324
    10    ;        0.00001   ;     0.11932 ; 0.01190
    11    ;        0.00000   ;     0.07331 ; 0.03555
    12    ;        0.00000   ;     0.03950 ; 0.09309
    13    ;        0.00000   ;     0.01545 ; 0.17696
    14    ;        0.00000   ;     0.00492 ; 0.27393
    15    ;        0.00000   ;     0.00100 ; 0.26976
    16    ;        0.00000   ;     0.00010 ; 0.13469
